Country or entity,% Christian
Afghanistan (details),0.0
Albania (details),0.0
Algeria (details),0.0
American Samoa (details),1.0
Andorra (details),1.0
Angola (details),1.0
Anguilla (details),1.0
Antigua and Barbuda (details),1.0
Argentina (details),1.0
Armenia (details),1.0
Aruba (details),1.0
Australia (details),0.0
Austria (details),0.0
Azerbaijan (details),0.0
Bahamas (details),1.0
Bahrain (details),0.0
Bangladesh (details),0.0
Barbados (details),1.0
Belarus (details),0.0
Belgium (details),0.0
Belize (details),1.0
Benin (details),0.0
Bermuda (details),0.0
Bhutan (details),0.0
Bolivia (details),1.0
Bosnia and Herzegovina (details),0.0
Botswana (details),1.0
Brazil (details),1.0
British Virgin Islands (details),1.0
Brunei (details),0.0
Bulgaria (details),0.0
Burkina Faso (details),0.0
Burundi (details),1.0
Cambodia (details),0.0
Cameroon (details),1.0
Canada (details),0.0
Cape Verde (details),1.0
Cayman Islands (details),0.0
Central African Republic (details),1.0
Chad (details),0.0
Chile (details),1.0
People's Republic of China (details),0.0
Colombia (details),1.0
Comoros (details),0.0
Cook Islands (details),1.0
"Congo, Republic of (details)",1.0
"Congo, Democratic Republic of (details)",1.0
Costa Rica (details),1.0
Côte d'Ivoire (details),0.0
Croatia (details),1.0
Cuba (details),0.0
Cyprus (details),1.0
Czech Republic (details),0.0
Denmark (details),1.0
Djibouti (details),0.0
Dominica (details),1.0
Dominican Republic (details),1.0
Ecuador (details),1.0
Egypt (details),0.0
El Salvador (details),1.0
Equatorial Guinea (details),1.0
Eritrea (details),0.0
Estonia (details),0.0
Eswatini (details),1.0
Ethiopia (details),1.0
Falkland Islands (details),1.0
Faroe Islands (details),1.0
Fiji (details),0.0
Finland (details),1.0
France (details),0.0
Gabon (details),1.0
Gambia (details),0.0
Georgia (details),1.0
Germany (details),0.0
Ghana (details),1.0
Greece (details),1.0
Greenland (details),1.0
Grenada (details),1.0
Guatemala (details),1.0
Guinea (details),0.0
Guinea-Bissau (details),0.0
Guyana (details),0.0
Haiti (details),1.0
Honduras (details),1.0
Hong Kong (details),0.0
Hungary (details),0.0
Iceland (details),1.0
India (details),0.0
Indonesia (details),0.0
Iran (details),0.0
Iraq (details),0.0
Ireland (details),1.0
Israel (details),0.0
Italy (details),1.0
Jamaica (details),1.0
Japan (details),0.0
Jordan (details),0.0
Kazakhstan (details),0.0
Kenya (details),1.0
"Korea, North (details)",0.0
"Korea, South (details)",0.0
Kuwait (details),0.0
Kyrgyzstan (details),0.0
Laos (details),0.0
Latvia (details),1.0
Lebanon (details),0.0
Lesotho (details),1.0
Liberia (details),1.0
Libya (details),0.0
Liechtenstein (details),1.0
Lithuania (details),1.0
Luxembourg (details),1.0
Madagascar (details),1.0
Malawi (details),1.0
Malaysia (details),0.0
Maldives (details),0.0
Mali (details),0.0
Malta (details),1.0
Mauritania (details),0.0
Mauritius (details),0.0
Mexico (details),1.0
"Micronesia, Federated States of (details)",1.0
Moldova (details),1.0
Monaco (details),1.0
Mongolia (details),0.0
Montenegro (details),1.0
Morocco (details),0.0
Mozambique (details),0.0
Myanmar (details),0.0
Namibia (details),1.0
Nepal (details),0.0
Netherlands (details),0.0
New Zealand (details),0.0
Nicaragua (details),1.0
Niger (details),0.0
Nigeria (details),0.0
North Macedonia (details),0.0
Norway (details),1.0
Oman (details),0.0
Pakistan (details),0.0
Palau (details),1.0
Panama (details),1.0
Papua New Guinea (details),1.0
Paraguay (details),1.0
Peru (details),1.0
Philippines (details),1.0
Pitcairn Islands (details),1.0
Poland (details),1.0
Portugal (details),1.0
Puerto Rico (details),1.0
Qatar (details),0.0
Romania (details),1.0
Russia (details),0.0
Rwanda (details),1.0
San Marino (details),1.0
Saudi Arabia (details),0.0
Senegal (details),0.0
Serbia (details),1.0
Seychelles (details),1.0
Sierra Leone (details),0.0
Singapore (details),0.0
Slovakia (details),1.0
Slovenia (details),1.0
Somalia (details),0.0
South Africa (details),1.0
South Sudan (details),0.0
Spain (details),0.0
Sri Lanka (details),0.0
Sudan (details),0.0
Suriname (details),0.0
Sweden (details),0.0
Switzerland (details),1.0
Syria (details),0.0
Tajikistan (details),0.0
Tanzania (details),0.0
Thailand (details),0.0
Timor-Leste (details),1.0
Togo (details),0.0
Tonga (details),1.0
Trinidad and Tobago (details),0.0
Turkey (details),0.0
Turkmenistan (details),0.0
Uganda (details),1.0
Ukraine (details),1.0
United Arab Emirates (details),0.0
United Kingdom (details),0.0
United States (details),1.0
Uruguay (details),0.0
Uzbekistan (details),0.0
Venezuela (details),1.0
Vietnam (details),0.0
Yemen (details),0.0
Zambia (details),1.0
Zimbabwe (details),1.0
Europe,1.0
Latin America and the Caribbean,1.0
Africa,0.0
Asia,0.0
North America,1.0
Oceania,1.0
Middle East-North Africa,0.0
Total,0.0
