Country/Territory,Median downloadspeed (Mbit/s)(Ookla)
Romania,1.0
South Korea,1.0
Hong Kong,1.0
Monaco,1.0
Singapore,1.0
Denmark,1.0
Thailand,1.0
Hungary,1.0
Liechtenstein,1.0
France,1.0
United States,1.0
Andorra,1.0
Switzerland,1.0
Spain,1.0
Chile,1.0
China,1.0
Macau,1.0
Sweden,1.0
Canada,1.0
Japan,1.0
Taiwan,1.0
Norway,1.0
Luxembourg,1.0
New Zealand,1.0
Netherlands,1.0
United Arab Emirates,1.0
Portugal,1.0
Israel,1.0
Malta,1.0
Lithuania,1.0
Poland,1.0
Kuwait,1.0
Latvia,1.0
Panama,1.0
Germany,1.0
Finland,1.0
Austria,1.0
San Marino,1.0
Moldova,1.0
Ireland,1.0
Slovenia,1.0
Belgium,1.0
Barbados,1.0
Qatar,1.0
Malaysia,1.0
Slovakia,1.0
United Kingdom,1.0
Italy,1.0
Brazil,1.0
Saudi Arabia,1.0
Russia,1.0
Czech Republic,0.0
Trinidad and Tobago,0.0
Bulgaria,0.0
Estonia,0.0
Australia,0.0
Serbia,0.0
Belarus,0.0
Ukraine,0.0
Jordan,0.0
Vietnam,0.0
Montenegro,0.0
Turkey,0.0
Bahrain,0.0
Oman,0.0
Croatia,0.0
Paraguay,0.0
Kazakhstan,0.0
Bahamas,0.0
India,0.0
Grenada,0.0
Kosovo,0.0
Uruguay,0.0
Colombia,0.0
Ghana,0.0
Peru,0.0
Argentina,0.0
Cyprus,0.0
Belize,0.0
Ivory Coast,0.0
Philippines,0.0
Mexico,0.0
Kyrgyzstan,0.0
Costa Rica,0.0
Saint Vincent and the Grenadines,0.0
Saint Lucia,0.0
Guyana,0.0
Albania,0.0
Bosnia and Herzegovina,0.0
Laos,0.0
South Africa,0.0
Mongolia,0.0
Madagascar,0.0
Egypt,0.0
Uzbekistan,0.0
Jamaica,0.0
Dominica,0.0
North Macedonia,0.0
Greece,0.0
Bangladesh,0.0
Senegal,0.0
