Country,Ages 25-34: % equivalent to a degree course lasting at least: :2 years
Australia,1.0
Austria,0.0
Belgium,1.0
Brazil,0.0
Canada,1.0
Chile,0.0
China,0.0
Colombia,0.0
Costa Rica,0.0
Czech Republic,0.0
Denmark,1.0
Estonia,0.0
Finland,0.0
France,1.0
Germany,0.0
Greece,0.0
Hungary,0.0
Iceland,0.0
Indonesia,0.0
Ireland,1.0
Israel,1.0
Italy,0.0
Japan,1.0
Latvia,0.0
Lithuania,1.0
Luxembourg,1.0
Mexico,0.0
Netherlands,1.0
New Zealand,0.0
Norway,1.0
Poland,1.0
Portugal,0.0
Russia,1.0
Saudi Arabia,0.0
Slovakia,0.0
Slovenia,0.0
South Africa,0.0
South Korea,1.0
Spain,0.0
Sweden,1.0
Switzerland,1.0
Turkey,0.0
United Kingdom,1.0
United States,1.0
