Country,Scientific publications per capita (per million)
China,527
United States,1875
United Kingdom,2959
India,138
Germany,2097
Italy,2159
Japan,1016
Canada,3184
Russia,819
France,1664
Australia,4109
Spain,2202
South Korea,1762
Brazil,416
Iran,863
Netherlands,3534
Turkey,635
Poland,1364
Indonesia,181
Switzerland,5461
Sweden,4141
Taiwan,1677
Malaysia,1135
Saudi Arabia,1037
Belgium,2976
Egypt,298
Denmark,5110
Portugal,2821
Mexico,231
Pakistan,127
South Africa,472
Austria,3044
Norway,4654
Czech Republic,2358
Hong Kong,3273
Singapore,4232
Israel,2402
Finland,3948
Thailand,312
Greece,1884
Iraq,454
Ukraine,434
Vietnam,177
Chile,871
New Zealand,3286
Ireland,3309
Argentina,341
Romania,810
Colombia,296
Nigeria,63
Hungary,1250
United Arab Emirates,1061
Morocco,259
Slovakia,1597
Tunisia,710
Bangladesh,48
Algeria,176
Serbia,1158
Croatia,2010
Slovenia,3228
Jordan,587
Bulgaria,956
Ethiopia,52
Philippines,51
Ecuador,308
Peru,164
Kazakhstan,279
Qatar,1815
Lithuania,1667
Lebanon,628
Ghana,136
Kenya,86
Estonia,2865
Cyprus,4087
Uzbekistan,99
Sri Lanka,128
Nepal,84
Macau,3736
Belarus,272
Oman,562
Latvia,1349
Kuwait,502
Uganda,53
Luxembourg,3554
Tanzania,37
Cuba,187
Cameroon,86
Georgia,511
Uruguay,535
Azerbaijan,174
Iceland,4622
Bosnia and Herzegovina,474
Costa Rica,279
Venezuela,49
Palestine,230
Sudan,27
Armenia,396
Zimbabwe,71
Bahrain,710
Yemen,35
Malta,1974
North Macedonia,540
Myanmar,18
Malawi,50
Senegal,54
Puerto Rico,265
Zambia,44
Botswana,332
Panama,182
Syria,40
Rwanda,55
Brunei,1584
Libya,97
Mongolia,194
Burkina Faso,30
Benin,50
Montenegro,1006
Ivory Coast,23
Albania,216
Mozambique,20
Moldova,211
Cambodia,34
Namibia,205
Kyrgyzstan,76
Jamaica,175
Fiji,522
Bolivia,38
Mauritius,356
Democratic Republic of the Congo,5
Trinidad and Tobago,320
Madagascar,15
Paraguay,55
Guatemala,24
Republic of the Congo,68
Dominican Republic,33
Honduras,37
Mali,16
Tajikistan,34
Laos,42
Afghanistan,9
Grenada,2212
North Korea,9
Monaco,6050
Papua New Guinea,25
Gambia,92
Togo,28
Sierra Leone,25
Niger,8
Bhutan,265
Gabon,85
New Caledonia,676
French Polynesia,600
Barbados,542
Eswatini,125
Angola,5
Nicaragua,21
Guinea,11
French Guiana,442
Haiti,11
Liechtenstein,3193
Saint Kitts and Nevis,2241
Greenland,2048
Burundi,9
Seychelles,1119
El Salvador,16
Lesotho,46
Somalia,6
Maldives,238
Mauritania,20
Bahamas,219
Bermuda,1218
Guam,494
Guadeloupe,187
Faroe Islands,1378
Eritrea,20
Samoa,350
Central African Republic,12
Liberia,15
Guyana,91
Cape Verde,119
Chad,4
Solomon Islands,85
Suriname,100
Martinique,155
Guinea-Bissau,35
Réunion,66
Vanuatu,173
San Marino,1484
Belize,114
Timor-Leste,31
South Sudan,3
Andorra,453
Djibouti,36
Saint Vincent and the Grenadines,280
Federated States of Micronesia,284
Tonga,301
Cayman Islands,410
Antigua and Barbuda,232
Aruba,198
Dominica,292
Palau,1169
Falkland Islands,5000
Comoros,24
Kiribati,141
Turkmenistan,2
Equatorial Guinea,9
Saint Lucia,78
American Samoa,282
Mayotte,43
United States Virgin Islands,149
Anguilla,867
Gibraltar,353
Northern Mariana Islands,232
Turks and Caicos Islands,247
São Tomé and Príncipe,42
Cook Islands,521
Marshall Islands,128
British Virgin Islands,200
Vatican City,6061
"Saint Helena, Ascension and Tristan da Cunha",667
Montserrat,800
Wallis and Futuna,264
British Indian Ocean Territory,1000
Nauru,254
Svalbard and Jan Mayen,1021
Tuvalu,187
Saint Pierre and Miquelon,167
Tokelau,666
French Southern and Antarctic Lands,2500
World,
