Country or entity,% Christian
Afghanistan,0.02%
Albania,17.00%
Algeria,0.01%
American Samoa,98.30%
Andorra,89.50%
Angola,75%
Anguilla,90.50%
Antigua and Barbuda,74.00%
Argentina,77%
Armenia,97.90%
Aruba,88%
Australia,43.90%
Austria,60%
Azerbaijan,3.10%
Bahamas,95%
Bahrain,15.00%
Bangladesh,0.30%
Barbados,74%
Belarus,55.40%
Belgium,65%
Belize,76.70%
Benin,48.50%
Bermuda,64.70%
Bhutan,1.00%
Bolivia,89.00%
Bosnia and Herzegovina,45.94%
Botswana,71.60%
Brazil,90.00%
British Virgin Islands,94.00%
Brunei,7.10%
Bulgaria,64.70%
Burkina Faso,26.30%
Burundi,75.00%
Cambodia,1.00%
Cameroon,73%
Canada,53.30%
Cape Verde,89.10%
Cayman Islands,66.90%
Central African Republic,80%
Chad,35.00%
Chile,68%
People's Republic of China,3%
Colombia,92%
Comoros,2.10%
Cook Islands,87.00%
Republic of Congo,90.70%
Democratic Republic of Congo,92%
Costa Rica,82%
Côte d'Ivoire,39.80%
Croatia,87.40%
Cuba,65%
Cyprus,79%
Czech Republic,11.70%
Denmark,79%
Djibouti,6.00%
Dominica,88.70%
Dominican Republic,83%
Ecuador,94.00%
Egypt,10.00%
El Salvador,81.90%
Equatorial Guinea,88.70%
Eritrea,67%
Estonia,26.80%
Eswatini,82.70%
Ethiopia,75%
Falkland Islands,94.30%
Faroe Islands,95.40%
Fiji,64.40%
Finland,67.10%
France,58%
Gabon,88.00%
Gambia,4.20%
Georgia,88.10%
Germany,53.90%
Ghana,71.30%
Greece,93%
Greenland,96.60%
Grenada,97.30%
Guatemala,87%
Guinea,8.90%
Guinea-Bissau,10.00%
Guyana,62.70%
Haiti,96.00%
Honduras,88%
Hong Kong,18.40%
Hungary,58%
Iceland,72.30%
India,2.30%
Indonesia,10.49%
Iran,1%
Iraq,1.20%
Ireland,83.8%
Israel,3.50%
Italy,83%
Jamaica,68.90%
Japan,1.10%
Jordan,6.00%
Kazakhstan,17.20%
Kenya,85.50%
North Korea,1.70%
South Korea,27.60%
Kuwait,15.00%
Kyrgyzstan,14%
Laos,2.20%
Latvia,75%
Lebanon,39%
Lesotho,90.00%
Liberia,85.50%
Libya,2.70%
Liechtenstein,84.40%
Lithuania,79.40%
Luxembourg,72.40%
Madagascar,85.00%
Malawi,77.30%
Malaysia,9.00%
Maldives,0.08%
Mali,2.40%
Malta,91.60%
Mauritania,0.14%
Mauritius,32.20%
Mexico,88.90%
Micronesia,95.40%
Moldova,91.80%
Monaco,82.60%
Mongolia,1.30%
Montenegro,78.80%
Morocco,1%
Mozambique,56.10%
Myanmar,6.20%
Namibia,90.00%
Nepal,1.40%
Netherlands,40.4%
New Zealand,37.0%
Nicaragua,84.60%
Niger,0.50%
Nigeria,45.90%
North Macedonia,60.4%
Norway,76.7%
Oman,6.50%
Pakistan,1.60%
Palau,77.90%
Panama,92.00%
Papua New Guinea,97%
Paraguay,96%
Peru,94.50%
Philippines,85.30%
Pitcairn Islands,100.00%
Poland,94.30%
Portugal,84.80%
Puerto Rico,89%
Qatar,13.80%
Romania,98.00%
Russia,61.8%
Rwanda,93.60%
San Marino,91.60%
Saudi Arabia,5%
Senegal,4.20%
Serbia,91.00%
Seychelles,94.70%
Sierra Leone,15.45%
Singapore,18.90%
Slovakia,68.80%
Slovenia,68.00%
Somalia,0.01%
South Africa,85.30%
South Sudan,60.50%
Spain,59.20%
Sri Lanka,7.40%
Sudan,1.50%
Suriname,50%
Sweden,64.30%
Switzerland,68%
Syria,10.00%
Tajikistan,1.40%
Tanzania,61.40%
Thailand,1.10%
Timor-Leste,99.60%
Togo,29.00%
Tonga,81.00%
Trinidad and Tobago,57.60%
Tunisia,
Turkey,0.20%
Turkmenistan,9.00%
Uganda,84.50%
Ukraine,81.90%
United Arab Emirates,9.00%
United Kingdom,42.85%
United States,68%
Uruguay,58.10%
Uzbekistan,2.60%
Venezuela,88.00%
Vietnam,7.10%
Yemen,0.01%
Zambia,95.50%
Zimbabwe,87.00%
Europe,76.20%
Latin America and the Caribbean,90.00%
Africa,62.70%
Asia,9.5%
North America,77.40%
Oceania,73.30%
Middle East-North Africa,4.4%
Total,33.40%
