Country/Territory,Estimate
Monaco,"234,317"
Liechtenstein,"169,260"
Luxembourg,"133,745"
Bermuda,"112,653"
Ireland,"101,109"
Switzerland,"93,525"
Norway,"89,242"
Cayman Islands,"85,250"
Singapore,"66,822"
Qatar,"66,799"
United States,"69,185"
Isle of Man,—
Iceland,"69,133"
Denmark,"68,037"
Faroe Islands,—
Channel Islands,—
Australia,"66,916"
Netherlands,"57,871"
San Marino,"50,425"
Austria,"53,840"
Greenland,"58,185"
Sweden,"60,730"
Finland,"53,703"
Macau,"43,555"
Belgium,"51,166"
Canada,"52,112"
Israel,"54,111"
Germany,"51,073"
Hong Kong,"49,259"
United Arab Emirates,"43,295"
British Virgin Islands,"49,444"
United Kingdom,"46,542"
New Zealand,"48,824"
France,"44,229"
Andorra,"42,066"
European Union,"31,875"
U.S. Virgin Islands,—
Malta,"33,642"
Italy,"35,579"
Puerto Rico,"32,716"
New Caledonia,"34,994"
Sint Maarten,"26,199"
Guam,—
Aruba,"29,342"
Cyprus,"32,281"
Brunei,"31,449"
Bahamas,"27,478"
Japan,"39,650"
South Korea,"34,940"
Spain,"30,058"
Saudi Arabia,"23,186"
Slovenia,"29,135"
Taiwan,—
Kuwait,"32,150"
Estonia,"27,991"
Czech Republic,"26,809"
Lithuania,"23,844"
Bahrain,"26,563"
Portugal,"24,651"
Latvia,"21,267"
Slovakia,"21,390"
Greece,"20,571"
Poland,"17,736"
Saint Martin (French part),—
Barbados,"17,225"
Uruguay,"17,313"
Oman,"19,509"
Hungary,"18,728"
Seychelles,"12,085"
Croatia,"16,983"
Guyana,"9,999"
Turks and Caicos Islands,"20,909"
French Polynesia,"19,915"
Trinidad and Tobago,"16,033"
Cook Islands,"19,264"
Anguilla,"19,216"
Antigua and Barbuda,"15,246"
Panama,"14,618"
Romania,"14,698"
Saint Kitts and Nevis,"18,083"
Curaçao,"14,183"
Maldives,"10,366"
Northern Mariana Islands,—
Chile,"16,265"
Costa Rica,"12,472"
Montserrat,"16,199"
Bulgaria,"12,207"
American Samoa,—
Palau,"12,084"
Mexico,"10,046"
Saint Lucia,"9,824"
Turkey,"9,661"
World,"12,230"
Argentina,"10,761"
Malaysia,"11,101"
Russia,"12,259"
Kazakhstan,"10,055"
Turkmenistan,"8,508"
China,"12,437"
Nauru,"12,390"
Mauritius,"8,873"
Grenada,"8,950"
Montenegro,"9,252"
Serbia,"8,643"
Cuba,"11,255"
Dominican Republic,"8,477"
Brazil,"7,507"
Saint Vincent and the Grenadines,"8,440"
Dominica,"7,571"
Gabon,"7,911"
Armenia,"4,967"
Georgia,"4,975"
Albania,"6,396"
Bosnia and Herzegovina,"7,143"
Botswana,"6,805"
North Macedonia,"6,600"
Peru,"6,622"
Azerbaijan,"5,296"
Belarus,"7,121"
Thailand,"7,067"
Belize,"6,229"
Colombia,"6,104"
Jamaica,"5,184"
Equatorial Guinea,"7,605"
Ecuador,"5,965"
Moldova,"4,468"
South Africa,"7,055"
Marshall Islands,"6,111"
Fiji,"4,647"
Kosovo,"5,663"
Iraq,"4,686"
Libya,"5,791"
Paraguay,"6,035"
Tuvalu,"5,370"
Suriname,"5,259"
El Salvador,"4,551"
Tonga,"4,451"
Guatemala,"4,883"
Mongolia,"4,510"
Ukraine,"4,596"
Indonesia,"4,333"
Algeria,"3,700"
Jordan,"4,058"
Namibia,"4,836"
Samoa,"3,919"
Cape Verde,"3,293"
Micronesia,"3,573"
Vietnam,"3,756"
Iran,"6,766"
Tunisia,"3,807"
Eswatini,"3,969"
Morocco,"3,853"
Philippines,"3,461"
Bolivia,"3,345"
Palestine,"3,514"
Egypt,"3,898"
Djibouti,"3,348"
Bhutan,"3,063"
Vanuatu,"3,073"
Venezuela,"3,965"
Sri Lanka,"3,918"
Lebanon,"6,785"
Honduras,"2,772"
São Tomé and Príncipe,"2,486"
Congo,"2,200"
Ivory Coast,"2,539"
Bangladesh,"2,450"
India,"2,274"
Nicaragua,"2,046"
Papua New Guinea,"2,673"
Angola,"2,258"
Uzbekistan,"2,032"
Mauritania,"2,166"
Ghana,"2,409"
Solomon Islands,"2,306"
Kenya,"2,082"
Haiti,"1,664"
Zimbabwe,"1,508"
Kiribati,"1,765"
Cambodia,"1,608"
Laos,"2,569"
Kyrgyzstan,"1,339"
Nigeria,"2,019"
Cameroon,"1,668"
Senegal,"1,637"
Guinea,"1,185"
Timor-Leste,"1,517"
Zambia,"1,095"
Ethiopia,825
Pakistan,"1,480"
Benin,"1,361"
Myanmar,"1,089"
Comoros,"1,631"
Nepal,"1,159"
Tanzania,"1,136"
Zanzibar,"1,211"
Tajikistan,897
Uganda,930
Lesotho,"1,040"
Rwanda,822
Guinea-Bissau,759
Togo,944
Syria,925
Mali,875
Gambia,772
Burkina Faso,893
Liberia,471
Somalia,447
Chad,955
DR Congo,551
North Korea,654
Mozambique,492
Niger,591
Eritrea,623
Yemen,302
Malawi,613
Central African Republic,461
Sudan,786
Madagascar,500
South Sudan,400
Sierra Leone,505
Afghanistan,373
Burundi,311
