Country,Estimate,Median download speed (Mbit/s)(Ookla),2016,Rate,% of GDP,2021 data ,2020,Ages 25-34: % equivalent to a degree course lasting at least: :2 years,Yes important,% Christian,Muslim percentage of total population,% Buddhist,pct,2020 mortality rate under-5 (per 1000 live births),Age reduced,Annual Nominal US$,% of GDP.1,%,2018,All,Total Fertility rate in 2021 (births/woman),Cigarettes,Obesity rate (%),Pct,median 2018 Combined,Score,Oil production April 2022 (bbl/day),UN 2015-20,Life expectancy at birth All,kg/person (2002),Rates per 100000,Elderly (65+) rate,Women,(% of GDP),Homeless per 10k,Milk consumption 2013 (kg/capita/yr),Scientific publications per capita (per million),Titles,kilocalories,Average yearly temperature (1961-1990 Celsius)
Afghanistan,0.0,,0.0,1.0,,0.0,0.0,,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Albania,0.0,0.0,1.0,0.0,,1.0,1.0,,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0
Algeria,0.0,,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0
American Samoa,,,,0.0,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,0.0,,,,,0.0,1.0,1.0,,,,,1.0,0.0,,
Andorra,1.0,1.0,1.0,0.0,,1.0,,,,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,,1.0,,0.0,1.0,1.0,1.0,1.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0,,0.0
Angola,0.0,,1.0,1.0,,0.0,0.0,,,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Anguilla,1.0,,,1.0,,,,,,1.0,0.0,,,,,,0.0,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,
Antigua and Barbuda,1.0,,1.0,1.0,,1.0,,,,1.0,0.0,,,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,1.0,1.0,1.0,,0.0,0.0,,1.0,0.0,,0.0,1.0
Argentina,0.0,0.0,0.0,0.0,,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,0.0
Armenia,0.0,,0.0,0.0,,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,0.0
Aruba,1.0,,,0.0,,,,,,1.0,0.0,0.0,,,,,0.0,,,,0.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,0.0,,,
Australia,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Austria,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Azerbaijan,0.0,,0.0,0.0,,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Bahamas,1.0,0.0,0.0,1.0,,1.0,,,,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,1.0,,1.0,0.0,,1.0,0.0,,0.0,1.0
Bahrain,1.0,0.0,0.0,0.0,,1.0,0.0,,1.0,0.0,1.0,1.0,,0.0,1.0,,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,,1.0,0.0,,1.0
Bangladesh,0.0,0.0,0.0,0.0,,0.0,1.0,,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0
Barbados,1.0,1.0,1.0,1.0,,1.0,,,,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0
Belarus,1.0,0.0,1.0,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0
Belgium,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,0.0
Belize,0.0,0.0,1.0,1.0,,0.0,,,,1.0,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0,0.0,,0.0,1.0
